Date,Close,High,Low,Open,Volume,asset,return,log_return,vol_7d,vol_30d,ma_7,ma_30,ma_ratio
2022-03-14,0.0009100000024773,0.0009120000177063,0.0008009999874047,0.0008159999852068,41422,OPTIMISM,,,,,,,
2022-03-15,0.0008829999715089,0.0009169999975711,0.0008670000243,0.0009100000024773,44912,OPTIMISM,-0.029670363620766693,-0.03011943389549543,,,,,
2022-03-16,0.0009120000177063,0.0009260000078938,0.0008689999813213,0.0008829999715089,19135,OPTIMISM,0.032842635484850335,0.03231484115142579,,,,,
2022-03-17,0.0008440000237897,0.0009260000078938,0.0008270000107586,0.0009120000177063,19963,OPTIMISM,-0.07456139539078233,-0.07748748670632867,,,,,
2022-03-18,0.0008370000286959,0.0008529999759048,0.000808999990113,0.0008440000237897,22038,OPTIMISM,-0.008293832815749136,-0.008328418009101014,,,,,
2022-03-19,0.0008019999950192,0.0008440000237897,0.0007980000227689,0.0008370000286959,14594,OPTIMISM,-0.04181604835931996,-0.042715503117663395,,,,,
2022-03-20,0.0007890000124461,0.0008079999824985,0.0007759999716654,0.0008019999950192,9525,OPTIMISM,-0.016209454680593538,-0.016342265035641783,,,0.0008538571502347714,,
2022-03-21,0.0007820000173524,0.0008009999874047,0.0007759999716654,0.0007890000124461,5774,OPTIMISM,-0.008871983502253933,-0.00891157388531811,0.03394461077652589,,0.0008355714380740715,,
2022-03-22,0.0007890000124461,0.0008149999775923,0.0007810000097379,0.0007820000173524,4866,OPTIMISM,0.008951400176945956,0.008911573885318196,0.03549298288472728,,0.0008221428724936715,,
2022-03-23,0.0007730000070296,0.0007960000075399,0.0007650000043213,0.0007890000124461,9094,OPTIMISM,-0.020278840512176877,-0.020487278939057163,0.028394827129046132,,0.0008022857281112857,,
2022-03-24,0.0007839999743737,0.0007900000200606,0.0007699999841861,0.0007730000070296,9565,OPTIMISM,0.014230229293747954,0.014129929982458442,0.01898415781304456,,0.0007937142924804287,,
2022-03-25,0.0007719999994151,0.000793999992311,0.0007670000195503,0.0007839999743737,6083,OPTIMISM,-0.015306091008722489,-0.015424438396666424,0.019036091611375205,,0.0007844285740117429,,
2022-03-26,0.0007800000021234,0.0007880000048317,0.000754999986384,0.0007719999994151,6482,OPTIMISM,0.010362697816529876,0.010309373138811325,0.014599997594010896,,0.0007812857178837715,,
2022-03-27,0.0008120000129565,0.0008140000281855,0.0007740000146441,0.0007800000021234,4394,OPTIMISM,0.041025654802546496,0.04020643371201368,0.02090063985805588,,0.0007845714322424,,
2022-03-28,0.000808999990113,0.0008420000085607,0.000808999990113,0.0008120000129565,5911,OPTIMISM,-0.0036946093542251646,-0.003701451280727862,0.020447711824905804,,0.0007884285712082001,,
2022-03-29,0.0008099999977275,0.0008340000058524,0.000806999974884,0.000808999990113,6019,OPTIMISM,0.0012361033704837432,0.001235340023698084,0.020399314754753525,,0.0007914285691055428,,
2022-03-30,0.0008120000129565,0.0008360000210814,0.0008009999874047,0.0008099999977275,4471,OPTIMISM,0.002469154610631241,0.0024661112570299086,0.017491007425484442,,0.0007969999985236714,,
