Date,Close,High,Low,Open,Volume,sentiment_score_mean,sentiment_polarity_mean,sentiment_subjectivity_mean,news_count,return,log_return,vol_7d,vol_30d,ma_7,ma_30,ma_ratio
2021-10-12,587.449462890625,602.1004638671875,569.3594360351562,602.1004638671875,1295493392,1.0,0.16,0.5,1.0,,,,,,,
2021-10-13,594.5084838867188,594.5084838867188,572.5851440429688,587.7376098632812,1224286953,1.0,0.16,0.5,1.0,0.012016388544061174,0.011944764947648125,,,,,
2021-10-14,597.6168212890625,607.2581176757812,591.8446655273438,593.7015380859375,1128243790,1.0,0.16,0.5,1.0,0.005228415550981413,0.0052147948422500276,,,,,
2021-10-15,624.5038452148438,636.523681640625,586.2923583984375,598.7199096679688,1754209051,0.0,0.0,0.0,1.0,0.044990406842608355,0.04400770531971713,,,,,
2021-10-16,626.3204956054688,646.348876953125,624.5023803710938,625.4146118164062,1345916541,0.0,0.0,0.0,1.0,0.0029089498880507936,0.002904727080633196,,,,,
2021-10-17,611.6915283203125,628.5509033203125,593.0745849609375,625.2628173828125,1101439670,0.0,0.0,0.0,1.0,-0.02335699915266909,-0.023634097147051322,,,,,
2021-10-18,611.1658325195312,619.4867553710938,600.2850341796875,612.8544921875,1179982882,1.0,0.14,0.45,1.0,-0.0008594132441637203,-0.0008597827514473135,,,607.6080671037946,,
2021-10-19,619.0848999023438,624.5276489257812,601.8729858398438,611.5217895507812,1180856013,1.0,0.1,0.4,1.0,0.012957313647862456,0.012874085827717777,0.020194907047047458,,612.1274152483259,,
2021-10-20,644.3960571289062,648.3104248046875,606.3157958984375,618.8771362304688,1138643163,1.0,0.1,0.4,1.0,0.0408847917798596,0.0400711127877798,0.023718832721523975,,619.2542114257812,,
2021-10-21,623.7405395507812,655.6233520507812,621.7437133789062,644.6884155273438,1408405297,1.0,0.1,0.4,1.0,-0.03205407194785648,-0.03257905271602218,0.029085368136321947,,622.9861711774554,,
2021-10-22,623.5930786132812,636.9425659179688,613.9552612304688,623.4720458984375,1042106876,1.0,0.1,0.4,1.0,-0.00023641390634354664,-0.0002364418565163961,0.02380591549711499,,622.8560616629464,,
2021-10-23,629.4553833007812,636.7453002929688,616.6586303710938,623.6005859375,1064456581,1.0,0.1,0.4,1.0,0.009400849509966225,0.009356936522607034,0.024069994072306547,,623.3039027622768,,
2021-10-24,617.8567504882812,633.1553344726562,606.61376953125,629.5943603515625,1008042453,1.0,0.1,0.4,1.0,-0.018426457410973707,-0.018598339301346207,0.023283431687481742,,624.1846487862723,,
2021-10-25,621.6943359375,628.9171752929688,615.4833984375,617.6656494140625,1140962239,1.0,0.1,0.4,1.0,0.006211124902634646,0.006191915367204623,0.023320237245712663,,625.688720703125,,
2021-10-26,611.6384887695312,631.3919677734375,602.4031982421875,621.5352172851562,1319150850,1.0,0.1,0.4,1.0,-0.016174905555162877,-0.01630714727713652,0.023748469376072792,,624.6249476841518,,
2021-10-27,549.0943603515625,618.8717651367188,542.3541259765625,611.921630859375,1579662843,0.0,0.0,0.0,1.0,-0.10225669176541263,-0.10787109983345275,0.04036545305641977,,611.0104195731027,,
2021-10-28,579.4688720703125,591.328369140625,545.9429931640625,549.1450805664062,1361300962,0.0,0.0,0.0,1.0,0.05531747166243428,0.05384164266743138,0.049157129985352606,,604.6858956473214,,
2021-10-29,593.519287109375,595.694091796875,575.5743408203125,579.0743408203125,1238115116,1.0,0.2,0.33,1.0,0.02424705746292033,0.023957764570734112,0.0508228323206641,,600.3896397181919,,
2021-10-30,584.8463745117188,599.8135375976562,578.387451171875,593.8712768554688,1454401650,1.0,0.2,0.33,1.0,-0.014612688729790158,-0.014720505685229014,0.050338941791585094,,594.0169241768973,,
2021-10-31,596.2386474609375,601.9669799804688,575.4000244140625,584.8793334960938,1330055653,1.0,0.2,0.33,1.0,0.01947908621085337,0.019291797051342995,0.051350089682041085,,590.9286237444196,,
2021-11-01,587.6728515625,599.212646484375,580.0928344726562,596.6649169921875,1208247148,0.0,0.0,1.0,1.0,-0.014366388248924555,-0.014470583952515926,0.05118723400507324,,586.0684116908482,,
2021-11-02,598.3413696289062,608.0208740234375,583.5462036132812,587.2838134765625,1047259623,0.0,-0.02500000000000001,0.815,2.0,0.018153838548166545,0.01799102512775984,0.05190053902203631,,584.1688232421875,,
2021-11-03,611.1063232421875,618.8587646484375,592.3659057617188,598.7095336914062,1450315021,0.0,0.0,0.35000000000000003,3.0,0.02133389777343675,0.021109515860314267,0.023821764075124006,,593.0276750837054,,
2021-11-04,596.4094848632812,613.2819213867188,588.4388427734375,611.4177856445312,1284134827,0.0,0.0,0.0,3.0,-0.02404956031371608,-0.024343472868297137,0.020878669276797417,,595.4477626255581,,
2021-11-05,598.8560180664062,629.8613891601562,592.7810668945312,596.415283203125,1563407178,0.5,0.119,0.373,10.0,0.00410210311072734,0.004093712424242347,0.01899767222236339,,596.2101527622768,,
2021-11-06,589.2490234375,602.7744750976562,578.3321533203125,598.8544921875,1003134302,0.0,0.0,0.0,1.0,-0.01604224444454183,-0.01617231419753934,0.019208208966524067,,596.8391026088169,,
2021-11-07,600.8812866210938,600.9898071289062,587.5601806640625,588.7461547851562,915486512,0.0,0.0,0.0,1.0,0.019740827257947124,0.019548504086030476,0.019248995002673738,,597.5023367745536,,
2021-11-08,638.9419555664062,642.2825927734375,600.7612915039062,601.4351196289062,1557616519,0.0,0.03,0.14625,8.0,0.06334141167773288,0.061416225288875505,0.028269056701013515,,604.8264944893973,,
2021-11-09,716.318603515625,729.9756469726562,637.7782592773438,638.924072265625,2451835311,0.2,0.05,0.209,10.0,0.121101216276565,0.11431143107251855,0.04815083742803059,,621.6803850446429,,
2021-11-10,666.6940307617188,729.1342163085938,651.1315307617188,717.2832641601562,2306524746,0.3333333333333333,0.05833333333333334,0.22999999999999998,12.0,-0.06927723573051636,-0.07179382879069882,0.060777842338575624,,629.6214861188616,611.7451497395833,1.029221868594934
2021-11-11,676.9935913085938,681.4469604492188,659.8367919921875,665.573486328125,1166042995,0.0,0.049,0.328,10.0,0.015448706710494253,0.015330590383973317,0.05858664599619334,0.03971106455672068,641.1335013253348,614.7299540201823,1.0429514571926743
2021-11-12,668.2821655273438,683.9830322265625,647.467529296875,676.9334106445312,1390603001,0.7,0.144,0.376,10.0,-0.012867811295541598,-0.012951318724698166,0.05961129821700447,0.0398150722353477,651.0515223911831,617.1890767415365,1.0548655945572207
2021-11-13,666.955810546875,670.5091552734375,655.612548828125,668.636962890625,875576329,0.0,0.0,0.0,1.0,-0.0019847229940995748,-0.0019866951666908036,0.058580603508467236,0.03982857376368741,662.1524919782366,619.5003763834635,1.068849216595749
2021-11-14,678.7428588867188,678.7594604492188,657.8456420898438,666.4622802734375,1109798292,1.0,0.29,0.79,1.0,0.017672907490196232,0.01751855754882413,0.058574931180244635,0.03919176135557509,673.2755737304688,621.3083435058594,1.083641610108394
2021-11-15,665.6408081054688,685.637939453125,665.6408081054688,679.3583984375,1036539475,0.4,0.062,0.28500000000000003,10.0,-0.019303408661624943,-0.01949215233337683,0.05638500250506273,0.039401982801578625,677.0896955217634,622.6190205891927,1.0874863650664324
2021-11-16,599.5039672851562,667.8172607421875,578.45703125,666.6874389648438,1665351794,0.2857142857142857,0.041428571428571426,0.19428571428571426,7.0,-0.09935815234728418,-0.10464760577989923,0.0459557795607983,0.04375700891827214,660.4018903459821,622.2127685546875,1.0613763068218651
2021-11-17,595.5667724609375,603.4840087890625,579.083984375,599.1385498046875,1196598256,0.5454545454545454,0.12727272727272726,0.35818181818181816,11.0,-0.0065674207996458955,-0.006589081194997517,0.04137195059204189,0.043770362610346565,650.2408534458706,621.6927998860677,1.0459198716231466
2021-11-18,554.8060302734375,601.1182861328125,545.3870239257812,595.9006958007812,1352238674,0.36363636363636365,0.10636363636363635,0.30272727272727273,11.0,-0.06844025568967327,-0.07089495325130878,0.04324236785845309,0.0455016292430803,632.7854875837054,619.5501708984375,1.0213627843344386
2021-11-19,575.6010131835938,577.7923583984375,549.5670166015625,554.6311645507812,993087267,0.3,0.156,0.406,10.0,0.037481537285936506,0.03679617757732738,0.049801617696636755,0.045396917211638015,619.5453229631696,617.257002766927,1.0037072405594183
2021-11-20,584.3694458007812,587.47705078125,567.1513671875,575.4630126953125,975250027,1.0,0.09,0.2,1.0,0.015233525335006215,0.015118660252416807,0.05130574933137043,0.045187680318315895,607.7472708565848,615.9446329752604,0.9866913977656091
2021-11-21,575.9271850585938,585.2957763671875,570.2495727539062,584.6728515625,1079459640,1.0,0.09,0.2,1.0,-0.014446786708053772,-0.014552157609718149,0.0488882112857963,0.045242076275936426,593.0593174525669,614.3557698567708,0.9653353098495862
2021-11-22,557.3172607421875,577.0842895507812,550.3196411132812,575.5565185546875,1195242517,0.3333333333333333,0.07333333333333333,0.27,9.0,-0.032312981222640036,-0.032846571696572444,0.04896780072436969,0.0455111833367445,577.5845249720982,611.9511657714844,0.9438408769822991
2021-11-23,571.2039794921875,575.4552612304688,548.1824340820312,557.5748901367188,1202306823,0.3333333333333333,0.07555555555555556,0.2577777777777778,9.0,0.024917079961792155,0.024611711719732757,0.03700089113630522,0.04571840483549006,573.5416695731027,610.396073404948,0.9396221479173976
