Date,Close,High,Low,Open,Volume,sentiment_score_mean,sentiment_polarity_mean,sentiment_subjectivity_mean,news_count,return,log_return,vol_7d,vol_30d,ma_7,ma_30,ma_ratio
2021-10-12,69.77430725097656,73.55806732177734,66.39962005615234,73.55806732177734,1056121688,1.0,0.16,0.5,1.0,,,,,,,
2021-10-13,68.2784652709961,70.6374282836914,61.397003173828125,69.82119750976562,1501122446,1.0,0.16,0.5,1.0,-0.021438292100843914,-0.021671430364226366,,,,,
2021-10-14,70.28178405761719,71.85474395751953,67.3034896850586,68.28575897216797,924782998,1.0,0.16,0.5,1.0,0.029340419100956083,0.02891822731232893,,,,,
2021-10-15,67.23261260986328,70.38052368164062,65.30103302001953,70.38052368164062,1041856668,0.0,0.0,0.0,1.0,-0.04338494659233727,-0.044354211493811115,,,,,
2021-10-16,66.51651763916016,69.16259002685547,66.18515014648438,67.25323486328125,533355479,0.0,0.0,0.0,1.0,-0.01065100615468384,-0.01070813412978544,,,,,
2021-10-17,63.41889190673828,67.0329818725586,61.29490280151367,66.51371765136719,634070585,0.0,0.0,0.0,1.0,-0.04656927094749497,-0.04768850571287877,,,,,
2021-10-18,63.39232635498047,64.98920440673828,61.47882080078125,63.72233581542969,586411728,1.0,0.14,0.45,1.0,-0.0004188901912206555,-0.00041897795022525244,,,66.98498644147601,,
2021-10-19,62.96736526489258,63.97402191162109,62.21597671508789,63.4896354675293,407047077,1.0,0.1,0.4,1.0,-0.006703667691704829,-0.00672623819863629,0.026464500889891676,,66.01256615774972,,
2021-10-20,66.84131622314453,67.9764404296875,62.57393264770508,62.94824600219727,730503870,1.0,0.1,0.4,1.0,0.06152315476366099,0.05970481517212461,0.03816161168941827,,65.80725915091378,,
2021-10-21,63.60343170166016,68.11676788330078,63.58572769165039,67.04153442382812,746950880,1.0,0.1,0.4,1.0,-0.048441363881509214,-0.04965396921719747,0.03874618393805947,,64.85320881434849,,
2021-10-22,65.84414672851562,66.81424713134766,63.62274169921875,63.62274169921875,622414511,1.0,0.1,0.4,1.0,0.035229467450212715,0.034623109825181374,0.04000209784091872,,64.65485654558454,,
2021-10-23,64.85674285888672,66.3464584350586,64.05294799804688,66.02032470703125,361307791,1.0,0.1,0.4,1.0,-0.014996076624701482,-0.015109654695850306,0.04017800786219547,,64.41774586268834,,
2021-10-24,62.658470153808594,65.08214569091797,61.29518508911133,64.84449005126953,624235124,1.0,0.1,0.4,1.0,-0.03389428158396823,-0.034482011403598134,0.03801508955638579,,64.30911418369838,,
2021-10-25,63.92448425292969,65.32890319824219,62.36033630371094,62.60507583618164,481655636,1.0,0.1,0.4,1.0,0.020204995366363,0.02000358295261467,0.03890512900854165,,64.38513674054828,,
2021-10-26,62.82720565795898,65.19546508789062,62.26249694824219,63.90987777709961,587019794,1.0,0.1,0.4,1.0,-0.01716523187937058,-0.01731426236273306,0.03946616641001114,,64.36511393955776,,
2021-10-27,55.30981063842773,63.19218444824219,52.29531478881836,62.83670425415039,1317941098,0.0,0.0,0.0,1.0,-0.11965190781294832,-0.12743789041937378,0.053070505422292864,,62.71775599888393,,
2021-10-28,58.174434661865234,59.20294952392578,54.77267074584961,55.32769775390625,836074537,0.0,0.0,0.0,1.0,0.05179233105974945,0.0504956908931973,0.059117142212768814,,61.94218499319894,,
2021-10-29,59.851173400878906,62.772064208984375,57.94213485717773,58.197147369384766,630183079,1.0,0.2,0.33,1.0,0.02882260478781773,0.028415046254216755,0.05832940005323967,,61.086045946393696,,
2021-10-30,60.74198532104492,60.85185623168945,57.62156677246094,59.98554229736328,370765111,1.0,0.2,0.33,1.0,0.01488378371798027,0.014774107138243212,0.05928899116607513,,60.49822344098772,,
2021-10-31,64.41033935546875,66.74785614013672,59.54354095458984,61.41461181640625,1370697316,1.0,0.2,0.33,1.0,0.06039239605085611,0.05863902457606864,0.06304198847394313,,60.748490469796316,,
2021-11-01,63.92739486694336,64.44646453857422,60.74022674560547,64.39730834960938,589412734,0.0,0.0,1.0,1.0,-0.007497934234752424,-0.007526185047393324,0.0627307498471252,,60.74890627179827,,
2021-11-02,64.78323364257812,66.41606140136719,63.49293899536133,63.89154815673828,743209926,0.0,-0.02500000000000001,0.815,2.0,0.013387668579582845,0.013298845621302128,0.06238813841601591,,61.02833884102957,,
2021-11-03,64.05521392822266,65.82972717285156,61.71032333374024,64.65768432617188,726566141,0.0,0.0,0.35000000000000003,3.0,-0.01123777979920082,-0.011301400734373458,0.026760861068211936,,62.27768216814314,,
2021-11-04,62.5294303894043,64.48731994628906,61.36455154418945,64.03457641601562,499573073,0.0,0.0,0.0,3.0,-0.023819818017126293,-0.02410809692049911,0.027875127014194142,,62.89982441493443,,
2021-11-05,63.65859603881836,64.42691040039062,61.56412124633789,62.52470016479492,639148531,0.5,0.119,0.373,10.0,0.0180581470578276,0.01789703541442367,0.027006686506857874,,63.443741934640066,,
2021-11-06,61.93137741088867,63.71076583862305,58.64351272583008,63.63222885131836,775265095,0.0,0.0,0.0,1.0,-0.027132527818810925,-0.027507411436553813,0.030011667674652284,,63.61365509033203,,
2021-11-07,62.59418487548828,62.67399215698242,61.18989562988281,61.94164276123047,448991442,0.0,0.0,0.0,1.0,0.01070228844099752,0.010645424309825196,0.01832959958277931,,63.35420445033482,,
2021-11-08,64.35102081298828,64.8216552734375,62.36256790161133,62.634674072265625,644839238,0.0,0.03,0.14625,8.0,0.02806707909040873,0.027680416937623565,0.021741057375893408,,63.41472244262695,,
2021-11-09,66.75120544433594,69.0584487915039,63.733543395996094,64.32936096191406,1295597969,0.2,0.05,0.209,10.0,0.03729831479010848,0.0366195588424568,0.025424634742624456,,63.695861271449495,,
2021-11-10,63.60045623779297,69.64288330078125,58.84939956665039,66.67736053466797,1490692538,0.3333333333333333,0.05833333333333334,0.22999999999999998,12.0,-0.04720138288993736,-0.048351712337920044,0.03216965656027484,,63.6308958871024,63.969597498575844,0.9947052721180404
