Date,Close,High,Low,Open,Volume,asset,return,log_return,vol_7d,vol_30d,ma_7,ma_30,ma_ratio
2014-09-17,457.3340148925781,468.1740112304688,452.4219970703125,465.864013671875,21056800,BITCOIN,,,,,,,
2014-09-18,424.4400024414063,456.8599853515625,413.10400390625,456.8599853515625,34483200,BITCOIN,-0.07192557601231164,-0.07464335114905,,,,,
2014-09-19,394.7959899902344,427.8349914550781,384.5320129394531,424.1029968261719,37919700,BITCOIN,-0.06984264508683835,-0.07240150831598667,,,,,
2014-09-20,408.9039916992188,423.2959899902344,389.8829956054688,394.6730041503906,36863600,BITCOIN,0.03573491642945359,0.03511123892407983,,,,,
2014-09-21,398.8210144042969,412.4259948730469,393.1809997558594,408.0849914550781,26580100,BITCOIN,-0.024658544547392802,-0.024967658573127792,,,,,
2014-09-22,402.1520080566406,406.9159851074219,397.1300048828125,399.1000061035156,24127600,BITCOIN,0.008352101649706567,0.008317415847792081,,,,,
2014-09-23,435.7909851074219,441.5570068359375,396.1969909667969,402.0920104980469,45099500,BITCOIN,0.08364741783421215,0.08033258980830758,,,417.4625723702567,,
2014-09-24,423.2049865722656,436.1119995117188,421.1319885253906,435.7510070800781,30627700,BITCOIN,-0.028880814347395978,-0.029306072958098176,0.05655651400285724,,412.58699689592635,,
2014-09-25,411.5740051269531,423.5199890136719,409.4679870605469,423.156005859375,26814400,BITCOIN,-0.027483091679796234,-0.027867817193167922,0.05020087486283662,,410.7489972795759,,
2014-09-26,404.4249877929688,414.93798828125,400.0090026855469,411.4289855957031,21460800,BITCOIN,-0.01736994378879475,-0.017522571265166875,0.041308264018043876,,412.1245683942522,,
2014-09-27,399.5199890136719,406.62298583984375,397.37200927734375,403.5559997558594,15029300,BITCOIN,-0.012128327693262775,-0.012202475999442316,0.03907319840124476,,410.78399658203125,,
2014-09-28,377.1809997558594,401.0169982910156,374.3320007324219,399.4710083007813,23613300,BITCOIN,-0.055914572166871124,-0.05753862134517328,0.04374165084570794,,407.69256591796875,,
2014-09-29,375.4670104980469,385.21099853515625,372.239990234375,376.9280090332031,32497700,BITCOIN,-0.00454420890480145,-0.004554565208133669,0.04321017760428119,,403.8804234095982,,
2014-09-30,386.9440002441406,390.97698974609375,373.4429931640625,376.0880126953125,34707300,BITCOIN,0.030567238732558177,0.03010936786854685,0.026802976962842912,,396.90228271484375,,
2014-10-01,383.614990234375,391.3789978027344,380.7799987792969,387.427001953125,26229400,BITCOIN,-0.008603337970520819,-0.008640560327416795,0.026353800886092637,,391.24656895228793,,
2014-10-02,375.0719909667969,385.49700927734375,372.9460144042969,383.9880065917969,21777700,BITCOIN,-0.0222697222086099,-0.022521436563615105,0.025960495320773415,,386.03199550083707,,
2014-10-03,359.5119934082031,377.6950073242188,357.8590087890625,375.1809997558594,30901200,BITCOIN,-0.04148536263261304,-0.042370445494222315,0.02823818019376829,,379.6158534458705,,
2014-10-04,328.8659973144531,364.4869995117188,325.885986328125,359.8919982910156,47236500,BITCOIN,-0.08524332054467354,-0.0890971731632362,0.03903592230145137,,369.52242606026783,,
