Date,Close,High,Low,Open,Volume,sentiment_score_mean,sentiment_polarity_mean,sentiment_subjectivity_mean,news_count,return,log_return,vol_7d,vol_30d,ma_7,ma_30,ma_ratio
2021-10-12,33.47243881225586,34.28524398803711,29.970258712768555,32.05174255371094,796712428,1.0,0.16,0.5,1.0,,,,,,,
2021-10-13,34.64904022216797,34.85603332519531,31.70282745361328,33.48654556274414,826055320,1.0,0.16,0.5,1.0,0.035151349936333176,0.03454764784904578,,,,,
2021-10-14,33.776123046875,35.67081451416016,33.50934982299805,34.55120849609375,630851084,1.0,0.16,0.5,1.0,-0.025193112700838682,-0.0255158919101679,,,,,
2021-10-15,33.010196685791016,34.1107292175293,32.33723449707031,33.82337951660156,540449646,0.0,0.0,0.0,1.0,-0.02267656237576532,-0.022937629908913102,,,,,
2021-10-16,33.13948059082031,34.588191986083984,32.92611312866211,33.057376861572266,408699633,0.0,0.0,0.0,1.0,0.00391648393555144,0.003908834478488227,,,,,
2021-10-17,32.414329528808594,34.23774337768555,31.263978958129883,33.11051940917969,341176935,0.0,0.0,0.0,1.0,-0.02188178719411149,-0.022124744262089012,,,,,
2021-10-18,31.88578224182129,32.65892791748047,31.16119956970215,32.44316101074219,314313731,1.0,0.14,0.45,1.0,-0.01630597623552732,-0.01644038174418213,,,33.192484446934294,,
2021-10-19,35.12923812866211,35.32558822631836,31.47491455078125,31.875383377075195,888355653,1.0,0.1,0.4,1.0,0.10172106998167707,0.09687356615302464,0.045086704427586985,,33.42917006356375,,
2021-10-20,35.88064956665039,36.85845184326172,33.58772659301758,35.00303268432617,660144750,1.0,0.1,0.4,1.0,0.02138991558075376,0.021164362048491876,0.043989394946801486,,33.60511425563267,,
2021-10-21,34.32960510253906,36.777862548828125,33.99418258666992,35.9307975769043,636078616,1.0,0.1,0.4,1.0,-0.043227881402486124,-0.04419003647215114,0.046634465128397994,,33.68418312072754,,
2021-10-22,34.04154586791992,36.12831115722656,33.65745544433594,34.337520599365234,732105079,1.0,0.1,0.4,1.0,-0.008390985965575082,-0.008426388468686723,0.04563631010054437,,33.83151871817453,,
2021-10-23,35.77384567260742,37.17789077758789,33.83844757080078,34.06044387817383,704748713,1.0,0.1,0.4,1.0,0.050887812539676336,0.04963534265752282,0.04872334201460692,,34.20785658700125,,
2021-10-24,34.29521560668945,36.04771041870117,33.515602111816406,35.76334381103516,443779637,1.0,0.1,0.4,1.0,-0.041332712156528895,-0.042211200850404855,0.05150633064684996,,34.476554598127095,,
2021-10-25,35.2713737487793,35.56317138671875,34.16328048706055,34.28302383422852,441138743,1.0,0.1,0.4,1.0,0.028463391316293052,0.02806583522973559,0.05071914957766265,,34.960210527692524,,
2021-10-26,43.21639251708984,43.21639251708984,35.08609771728516,35.28850555419922,2044194947,1.0,0.1,0.4,1.0,0.22525402114754622,0.20314818670178444,0.0843027539631071,,36.115518297467915,,
2021-10-27,36.76237106323242,43.03184127807617,35.352935791015625,42.89068984985352,1821222439,0.0,0.0,0.0,1.0,-0.14934197599452992,-0.16174508310535585,0.11135781002709104,,36.24147851126535,,
2021-10-28,38.06586456298828,40.4296875,36.2313346862793,36.704734802246094,1057682437,0.0,0.0,0.0,1.0,0.035457274981360865,0.03484314072352935,0.10971489331487576,,36.77522986275809,,
2021-10-29,39.417236328125,40.98020935058594,38.042213439941406,38.14330673217773,836395325,1.0,0.2,0.33,1.0,0.035500881975255805,0.03488525359167679,0.10941031673715003,,37.543185642787385,,
2021-10-30,37.27088165283203,39.53432083129883,36.359519958496094,39.48386764526367,538716368,1.0,0.2,0.33,1.0,-0.054452185775426876,-0.05599082185599515,0.11204615405694993,,37.757047925676616,,
2021-10-31,37.26321792602539,37.73995971679688,35.359283447265625,37.3199577331543,496362895,1.0,0.2,0.33,1.0,-0.0002056223643439603,-0.00020564350752070917,0.11015158126807124,,38.181048257010325,,
2021-11-01,37.35795593261719,38.16005325317383,34.83292388916016,37.232906341552734,641024625,0.0,0.0,1.0,1.0,0.0025424000358709176,0.0025391736043291215,0.10994790213173776,,38.479131426130024,,
2021-11-02,37.06620788574219,38.29990768432617,36.34896469116211,37.28810501098633,589565702,0.0,-0.02500000000000001,0.815,2.0,-0.0078095291776998366,-0.007840183250906805,0.06883406454777194,,37.600533621651785,,
2021-11-03,38.41892623901367,38.63155364990234,35.66334533691406,37.10294342041016,779063904,0.0,0.0,0.35000000000000003,3.0,0.03649465187918022,0.03584449309184733,0.03326976373386559,,37.837184361049104,,
2021-11-04,37.51663589477539,39.22392654418945,36.26119995117188,38.494930267333984,673952982,0.0,0.0,0.0,3.0,-0.023485569029829456,-0.023765750515337594,0.03224741650019687,,37.75872312273298,,
2021-11-05,36.902591705322266,38.967430114746094,36.43701553344727,37.54377746582031,520572680,0.5,0.119,0.373,10.0,-0.01636725081575441,-0.01650267396842209,0.028000305302016637,,37.399488176618306,,
2021-11-06,36.29985046386719,37.0654411315918,34.38180923461914,36.85631561279297,452985267,0.0,0.0,0.0,1.0,-0.01633330380337883,-0.016468162687021944,0.019839267094780597,,37.260769435337615,,
2021-11-07,35.71665954589844,36.51116943359375,35.537322998046875,36.28559875488281,333070230,0.0,0.0,0.0,1.0,-0.016065931691626623,-0.016196387926388344,0.02027609634947492,,37.0398325238909,,
2021-11-08,36.69716644287109,36.97428894042969,35.08503723144531,35.74509811401367,500178418,0.0,0.03,0.14625,8.0,0.02745236843083343,0.02708230955543193,0.023821982995816296,,36.945434025355745,,
2021-11-09,35.83833312988281,37.97031784057617,35.64511489868164,36.65800857543945,594546081,0.2,0.05,0.209,10.0,-0.023403259603851922,-0.02368146506632377,0.02512515690174078,,36.770023345947266,,
2021-11-10,32.11206817626953,37.230072021484375,28.679147720336918,35.82075881958008,1007570548,0.3333333333333333,0.05833333333333334,0.22999999999999998,12.0,-0.10397428195415248,-0.10978616324296575,0.041077891019650446,,35.8690436226981,35.76637414296468,1.0028705587914233
