Dataset,MAPE
aave.csv,0.2003818159863618
algorand.csv,0.5815186580758318
aptos.csv,0.09580121332574476
arbitrum.csv,0.1681556684802024
avalanche.csv,0.483333952150256
axie_infinity.csv,1.8499946737310706
binance_coin.csv,0.468104102140277
bitcoin.csv,0.15407154681818416
bitcoin_cash.csv,0.7197979566457195
cardano.csv,0.37691468581080606
chainlink.csv,0.2989998836015157
cosmos.csv,0.34927311987878557
decentraland.csv,0.550786315268387
dogecoin.csv,0.1907316244224004
eos.csv,0.4043762201430034
ethereum.csv,0.11752449936018768
fantom.csv,0.7546125364806312
filecoin.csv,2.0109416907708173
flow.csv,0.4666583414220209
hedera.csv,0.16115534370434215
immutable.csv,0.45619802365489376
injective.csv,0.8673753901552799
internet_computer.csv,0.6768569915316529
kaspa.csv,0.6472048387154876
lido.csv,0.2040006132271705
litecoin.csv,0.2869995927830298
maker.csv,0.5210182128795187
near.csv,0.43562571537530437
optimism.csv,0.2774646376509567
pepe.csv,0.0714285714285714
polkadot.csv,0.6651791561448807
polygon.csv,0.5201925124785672
render.csv,0.31322335364279996
sandbox.csv,0.6228310735536944
shiba_inu.csv,0.2746305029462472
solana.csv,0.33703618650160927
stacks.csv,0.2973099377169545
stellar.csv,0.46184422111132006
sui.csv,0.49730429731838766
tether.csv,0.00030169504573090386
tezos.csv,0.5721591963869721
theta.csv,0.5185310238154233
the_graph.csv,0.19226754855314446
toncoin.csv,0.0970813891281123
tron.csv,0.2544941001778465
uniswap.csv,0.18914289051345895
usd_coin.csv,0.0001609076729902067
vechain.csv,0.47559831574804656
xrp.csv,0.16625888448086687
