Logistic Regression,Random Forest,Gradient Boosting (GBM),SVM,KNN,Setting,Dataset
0.4855439642324888,0.4979135618479881,0.43934426229508194,0.42205663189269754,0.5706408345752608,All features,aave.csv
0.47548566142460685,0.5588960838729571,0.45729263028060435,0.4944495837187789,0.4913660191181005,All features,algorand.csv
0.5904203323558163,0.5518084066471163,0.47702834799608995,0.5102639296187683,0.613880742913001,All features,aptos.csv
0.6538461538461539,0.625,0.532967032967033,0.47390109890109894,0.5782967032967032,All features,arbitrum.csv
0.41698232323232326,0.49337121212121215,0.4756944444444444,0.42708333333333337,0.4805871212121212,All features,avalanche.csv
0.47797619047619044,0.5427083333333333,0.5657738095238095,0.49196428571428574,0.5133928571428571,All features,axie_infinity.csv
0.459735576923077,0.4586838942307692,0.5003004807692308,0.48888221153846145,0.4731069711538462,All features,binance_coin.csv
0.4634873323397914,0.5351713859910582,0.479284649776453,0.5001490312965723,0.4615499254843517,All features,bitcoin.csv
0.5643770443056795,0.44157002676181983,0.5428189116859947,0.5215581326196848,0.42952720785013376,All features,bitcoin_cash.csv
0.4542986425339367,0.5253393665158371,0.43846153846153846,0.4901960784313726,0.5411764705882354,All features,cardano.csv
0.4727383490709717,0.46420956442278405,0.4343588181541274,0.488882120012184,0.5229972586049345,All features,chainlink.csv
0.5168405365126676,0.5193740685543964,0.461698956780924,0.509090909090909,0.5096870342771982,All features,cosmos.csv
0.6180889423076923,0.5608473557692308,0.5279447115384616,0.3898737980769231,0.5782752403846154,All features,decentraland.csv
0.5152337858220211,0.5450980392156863,0.5098039215686275,0.43559577677224737,0.6266968325791855,All features,dogecoin.csv
0.5683257918552036,0.467420814479638,0.5472096530920061,0.4081447963800905,0.555052790346908,All features,eos.csv
0.4481818181818182,0.5975757575757575,0.5078787878787879,0.5,0.5048484848484849,All features,ethereum.csv
0.48090909090909084,0.5581818181818182,0.5327272727272727,0.47909090909090907,0.47984848484848486,All features,fantom.csv
0.535181236673774,0.5170575692963753,0.46329576606762113,0.5220834602497716,0.48294243070362475,All features,filecoin.csv
0.4960606060606061,0.5075757575757576,0.5112121212121212,0.4784848484848485,0.5209090909090909,All features,flow.csv
0.5439068100358423,0.5840800477897252,0.5265830346475507,0.4647550776583035,0.5229988052568698,All features,hedera.csv
0.4709090909090909,0.5509090909090909,0.5003030303030302,0.42424242424242425,0.4951515151515152,All features,immutable.csv
0.5318306427048431,0.5574169966494061,0.5031982942430704,0.4652756625038075,0.5010660980810234,All features,injective.csv
0.48345752608047693,0.44157973174366616,0.449478390461997,0.48375558867362145,0.4885245901639344,All features,internet_computer.csv
0.5996640537513998,0.4832026875699888,0.5436730123180292,0.4462486002239641,0.5307950727883539,All features,kaspa.csv
0.48924731182795694,0.5721326164874552,0.5010454002389486,0.5089605734767025,0.43996415770609326,All features,lido.csv
0.5382099316086828,0.5059470710674994,0.5111507582515611,0.552482902170681,0.5255724055902469,All features,litecoin.csv
0.5684336627732854,0.4968553459119497,0.5335429769392034,0.4387541179994011,0.567684935609464,All features,maker.csv
