feature,importance
log_return,0.0870803188922184
sentiment_subjectivity_mean,0.07675888822824985
sentiment_polarity_mean,0.07462286963613349
Volume,0.07160825912925656
vol_7d,0.0708064088711388
sentiment_score_mean,0.06815519783779658
ma_ratio,0.06701930364699835
Close,0.06354761888681217
vol_30d,0.06316600231073315
ma_7,0.06242946154135481
ma_30,0.06023960162422976
Low,0.05979284628248257
news_count,0.05856965386021702
Open,0.05854610497956555
High,0.057657464272812965
