Linear Regression,Ridge,Lasso,Random Forest,Gradient Boosting (GBM),SVR,Setting,Dataset
0.16901097396224926,0.17303521548143702,0.17018982263216434,0.18273645209777162,0.1759843200143755,0.49498617856361066,All features,aave.csv
0.2393144920836165,0.3055177322224823,1.5054929796783922,0.22854404209016127,0.2636817521881983,1.1208385578082403,All features,algorand.csv
0.1786160362723527,0.17658469763650342,0.1917576538359161,0.190497261031056,0.1937336937030557,0.3100997690740436,All features,aptos.csv
0.18015873969092822,0.1647659040687858,0.22265744423064596,0.18479658994227488,0.2086074999481091,0.2533145948677349,All features,arbitrum.csv
0.20921851825724982,0.2593133255739,0.20964043211605454,0.3036464730794518,0.44865979844112786,0.8156700312127813,All features,avalanche.csv
0.21060456167608965,0.31926853228520935,0.25618064279354735,0.2678834097799245,0.3163304214583349,1.0782664374994164,All features,axie_infinity.csv
0.12219697196344374,0.13475301830865416,0.1184143908624505,0.1543641576623283,0.15151847570704344,0.5987412874682856,All features,binance_coin.csv
0.12454492001323529,0.13542840091922778,0.12416773509309922,0.1781581319695907,0.1748095013385488,0.39409032481458717,All features,bitcoin.csv
0.15180598712046087,0.1631982466816265,0.14656876143035985,0.21073993628255872,0.18561509385776137,0.607476945186473,All features,bitcoin_cash.csv
0.16480381221692514,0.194976195144718,0.8732022097867853,0.17168856488089135,0.1922286237333565,0.676995238735118,All features,cardano.csv
0.18993218590348082,0.20670975895711163,0.2343450096486627,0.20877888080803086,0.2167232029605866,0.5524016608501561,All features,chainlink.csv
0.1759718296515679,0.18024442693804577,0.23007506296728783,0.2402490372616983,0.20921927131163107,0.7181580463707822,All features,cosmos.csv
0.2403514369091826,0.2674762507766428,0.9621624029823955,0.25932754086423054,0.27423668427820524,0.9328245113918643,All features,decentraland.csv
0.15651465527561578,0.16779314243480584,0.5900581836315105,0.1598672780662926,0.15619654257995041,1.105817909744968,All features,dogecoin.csv
0.15146371628113842,0.19104747050143064,0.7831514096320052,0.19437467382759396,0.21392500675014234,0.7809676576963319,All features,eos.csv
0.1292443354572575,0.13200695449697794,0.12822587769185462,0.16341816874541765,0.1601038988724019,0.3396810872569035,All features,ethereum.csv
0.2134286122824487,0.26064304828934054,0.9446267529882286,0.23928744129040655,0.21263471470034168,0.7854932882489157,All features,fantom.csv
0.18942729598486452,0.25511375392562147,0.3010639573662644,0.18439677299752646,0.1857786203211578,0.7758626826886793,All features,filecoin.csv
0.2158024810523225,0.31202962954232316,0.7854359005504511,0.2482007298851827,0.2979080248921401,1.339500950588039,All features,flow.csv
0.1745138243059705,0.19797592081597915,0.870993578082219,0.16186795521599137,0.1616667164962175,1.2578224269186256,All features,hedera.csv
0.2562176133929725,0.2882449726447412,0.6881828353881699,0.23328610537044966,0.22912561696307945,0.7167151073744957,All features,immutable.csv
0.193859362666701,0.20300241379116923,0.3095313083088706,0.420929623469684,0.4518869015162317,0.6485264328436997,All features,injective.csv
0.22096387392398573,0.27870917376570814,0.3099969547293487,0.3134362496989577,0.33992452343358204,0.8062768276794012,All features,internet_computer.csv
0.20247068420757397,0.21167048553782267,0.889357008381239,0.583620243613809,0.5893529421201296,0.7910159350804166,All features,kaspa.csv
0.17748717796472838,0.1810461152923976,0.4170245377539497,0.1876255792117444,0.17731902768317132,0.44645988524427505,All features,lido.csv
0.1405314320124834,0.14718154039061027,0.13667916791822335,0.14905561226937525,0.14813207233579406,0.5828087507176715,All features,litecoin.csv
0.15020181972728705,0.14944664153343754,0.1479588338120247,0.19768437925348462,0.1864004778640205,0.5526478599575636,All features,maker.csv
0.23646618820047788,0.27517192095719273,0.4681085834436139,0.23902435725410565,0.31445302379377565,1.0241608736604106,All features,near.csv
0.1770886063989344,0.18072754053239606,0.3337236704212241,0.18509812223514963,0.21201462145971178,0.42253223703994186,All features,optimism.csv
0.37678706613436364,0.3714396138554788,0.5345224846688511,0.30636113130738035,0.3321946217731445,1.14953406710222,All features,pepe.csv
0.1666682239988744,0.2521002376483927,0.27177434366017605,0.2601496960243871,0.28573157745023825,0.7055228970082513,All features,polkadot.csv
0.1657396547179816,0.17995326276429532,0.7554619188756138,0.170792716642011,0.17629744468256392,0.6178266022060451,All features,polygon.csv
0.1932873838175703,0.19332729439916413,0.4474651124979052,0.21830965444653114,0.2006117134096612,0.5084606282644579,All features,render.csv
0.2593289293521969,0.291646784053389,0.9376035966034979,0.27274911854487527,0.32317899892981955,1.0616764782708057,All features,sandbox.csv
0.22577532064221292,0.24226697768978953,1.020296729788754,0.20030286264274327,0.2144236485906292,2.128882970333611,All features,shiba_inu.csv
0.20331228792794773,0.23005558356051448,0.20616236188634665,0.2785716118651063,0.262918208065625,0.6646815103533571,All features,solana.csv
0.21608076250942895,0.22658399954638497,0.644310543705227,0.21747863072094803,0.21603759215309562,0.4932112858034519,All features,stacks.csv
0.13385745443514116,0.14112585732114188,0.47046031800264115,0.14976976745073994,0.1731973391122999,0.7187690642540091,All features,stellar.csv
0.20356680768947058,0.2373978625446778,0.2771734744112361,0.2330027929724304,0.24624993829218808,0.3079858021562069,All features,sui.csv
0.014574138208317756,0.014158398113919736,0.016159255122957267,0.014735741968500719,0.014836889502275422,0.04048675648682319,All features,tether.csv
0.19117908141919937,0.19212270885449953,0.6783710867484734,0.19550378754353115,0.23534642837564257,0.8159387171514457,All features,tezos.csv
0.174631461053356,0.23638854618380398,0.6307453574346849,0.20560025849618016,0.23989751479588078,0.7728923516773238,All features,theta.csv
0.23860565642395673,0.255883917523524,0.5481466519035121,0.3323720663762144,0.35615077344984136,0.4239002187214848,All features,the_graph.csv
